member_id,age_band,region,plan_type,join_date,digital_affinity_score,device_type,baseline_propensity,treatment_eligible,impressions_post8w,reward_adopted,spotify_user_latent,adopt_week_id
101,35-44,Gauteng,Essential,2024-01-08,34,Wearable,-1.455,0,8,0,0,
102,25-34,Western Cape,Classic,2022-03-07,41,GymScanner,0.609,1,11,1,1,25.0
103,18-24,Free State,Classic,2020-06-28,25,Wearable,-0.4,0,0,0,0,
104,35-44,Western Cape,Essential,2022-10-15,88,Phone,-0.352,0,13,0,0,
105,55-64,KwaZulu-Natal,Executive,2023-02-06,54,Mixed,0.446,1,0,0,0,
106,55-64,Gauteng,Executive,2022-06-15,59,Wearable,0.767,0,11,0,0,
107,45-54,Limpopo,Executive,2025-10-08,71,Mixed,0.976,1,7,0,1,
108,25-34,Gauteng,Classic,2020-08-14,75,Wearable,0.517,0,8,0,1,
109,25-34,Free State,Essential,2023-06-06,3,Wearable,0.945,1,0,0,1,
110,25-34,Gauteng,Classic,2023-11-06,25,Phone,0.502,0,21,0,0,
111,45-54,Western Cape,Essential,2022-06-12,54,Wearable,1.575,1,0,0,0,
112,25-34,Free State,Plus,2021-12-17,41,Mixed,-0.112,0,16,0,1,
113,65+,Limpopo,Essential,2025-11-09,40,Mixed,0.689,0,0,0,1,
114,35-44,Gauteng,Classic,2024-05-28,78,Wearable,1.395,1,12,0,0,
115,35-44,Gauteng,Classic,2024-03-24,73,Wearable,0.127,1,14,1,0,26.0
116,25-34,Western Cape,Classic,2024-07-28,50,Wearable,0.796,0,15,0,1,
117,35-44,Western Cape,Essential,2023-11-26,85,Wearable,-1.11,0,20,0,0,
118,45-54,Gauteng,Classic,2022-05-31,47,Wearable,1.274,0,18,0,0,
119,18-24,Western Cape,Plus,2022-02-14,57,Wearable,-0.642,1,24,0,0,
120,18-24,Western Cape,Essential,2022-10-30,64,Wearable,0.161,1,17,0,0,
121,35-44,Mpumalanga,Essential,2022-02-12,49,GymScanner,-0.26,0,10,0,0,
122,45-54,KwaZulu-Natal,Plus,2021-08-15,29,Phone,-0.664,0,0,0,0,
123,18-24,Gauteng,Classic,2022-04-25,30,Phone,0.476,0,11,0,1,
124,18-24,Gauteng,Executive,2020-12-20,20,GymScanner,0.336,0,5,0,0,
125,18-24,North West,Executive,2023-04-21,68,GymScanner,1.709,1,12,0,1,
126,25-34,Gauteng,Classic,2022-07-30,58,Phone,-0.201,1,14,0,0,
127,25-34,Western Cape,Classic,2020-03-14,96,Phone,0.046,0,0,0,0,
128,45-54,KwaZulu-Natal,Essential,2024-07-08,32,Phone,1.12,1,3,1,1,26.0
129,18-24,Gauteng,Classic,2022-12-15,64,Wearable,1.41,0,0,0,1,
130,25-34,KwaZulu-Natal,Essential,2023-08-18,23,Wearable,0.712,1,14,0,1,
131,55-64,KwaZulu-Natal,Classic,2024-05-13,80,Mixed,0.369,0,6,0,1,
132,35-44,Free State,Classic,2022-08-07,41,Phone,1.341,0,16,0,1,
133,35-44,KwaZulu-Natal,Classic,2020-03-22,41,Wearable,0.045,0,13,0,0,
134,45-54,Western Cape,Essential,2020-08-05,60,Wearable,0.756,0,22,0,0,
135,25-34,Gauteng,Classic,2024-06-18,57,Mixed,-0.754,1,10,0,1,
136,25-34,North West,Classic,2021-10-15,64,Wearable,1.462,0,7,0,1,
137,55-64,Western Cape,Classic,2023-08-30,23,GymScanner,0.608,0,11,0,1,
138,25-34,Gauteng,Executive,2020-10-12,37,Mixed,0.789,0,0,0,0,
139,25-34,Gauteng,Classic,2022-07-02,44,Phone,0.382,0,0,0,1,
140,55-64,Mpumalanga,Plus,2024-04-16,19,GymScanner,0.483,1,0,0,1,
141,65+,Gauteng,Classic,2020-08-02,41,Mixed,0.085,1,1,1,0,26.0
142,65+,KwaZulu-Natal,Classic,2021-02-21,55,Wearable,1.752,1,7,0,0,
143,55-64,KwaZulu-Natal,Classic,2021-02-04,23,Phone,-0.797,0,9,0,1,
144,25-34,Limpopo,Classic,2020-06-29,21,Wearable,0.357,1,0,0,1,
145,25-34,Gauteng,Executive,2021-04-29,8,Mixed,0.243,0,4,0,1,
146,25-34,KwaZulu-Natal,Classic,2024-01-17,72,Wearable,1.469,1,16,0,1,
147,25-34,Limpopo,Plus,2021-12-03,77,Wearable,-0.848,1,0,1,1,26.0
148,55-64,Eastern Cape,Classic,2021-04-18,49,Wearable,0.947,0,22,0,0,
149,35-44,Gauteng,Essential,2024-08-27,67,Mixed,-0.296,1,0,0,0,
150,45-54,Gauteng,Essential,2023-09-28,51,GymScanner,2.04,0,4,0,0,
151,55-64,Gauteng,Classic,2023-02-23,45,Mixed,0.307,0,7,0,1,
152,45-54,KwaZulu-Natal,Plus,2024-03-21,54,Phone,-0.941,1,18,1,0,25.0
153,35-44,Western Cape,Essential,2022-01-09,50,Mixed,0.797,0,5,0,1,
154,25-34,Western Cape,Essential,2020-02-07,60,Wearable,-0.774,1,24,1,1,26.0
155,18-24,KwaZulu-Natal,Classic,2023-12-06,91,GymScanner,0.357,1,1,0,0,
156,35-44,Eastern Cape,Essential,2024-10-11,49,Mixed,1.88,0,0,0,1,
157,35-44,Free State,Plus,2023-01-30,61,Phone,0.751,0,20,0,0,
158,25-34,KwaZulu-Natal,Essential,2021-11-21,49,Wearable,0.014,1,0,1,0,26.0
159,45-54,Western Cape,Classic,2024-09-27,37,Mixed,-0.117,1,18,0,1,
160,45-54,KwaZulu-Natal,Essential,2023-10-07,42,Wearable,-0.138,0,8,0,1,
161,25-34,Limpopo,Essential,2023-01-17,66,Mixed,0.739,0,17,0,0,
162,25-34,Mpumalanga,Plus,2025-08-15,45,Wearable,1.975,0,4,0,1,
163,25-34,Gauteng,Classic,2024-09-08,51,Wearable,2.241,1,8,0,1,
164,35-44,Gauteng,Essential,2020-10-27,55,Wearable,-0.998,1,15,1,1,25.0
165,45-54,Limpopo,Executive,2022-03-09,86,Mixed,-1.076,1,8,1,0,26.0
166,25-34,Western Cape,Plus,2024-10-23,39,Wearable,-1.96,0,11,0,0,
167,25-34,Western Cape,Plus,2022-01-01,40,Phone,1.038,0,33,0,0,
168,65+,Eastern Cape,Classic,2024-05-19,50,Mixed,-0.737,1,9,0,0,
169,55-64,Gauteng,Essential,2020-12-08,42,Wearable,-1.438,0,1,0,0,
170,25-34,Limpopo,Essential,2023-01-22,51,Wearable,0.327,1,6,0,1,
171,35-44,KwaZulu-Natal,Classic,2021-01-04,59,Mixed,0.34,1,0,1,0,26.0
172,45-54,Western Cape,Plus,2021-02-02,50,Wearable,1.383,0,24,0,0,
173,25-34,Mpumalanga,Classic,2020-04-25,44,Wearable,-0.358,0,16,0,1,
174,55-64,Gauteng,Classic,2024-01-19,86,Mixed,-0.865,0,12,0,1,
175,25-34,Mpumalanga,Essential,2022-03-22,35,Wearable,0.133,1,7,0,1,
176,55-64,Mpumalanga,Classic,2023-11-28,55,Wearable,-0.828,1,9,1,0,25.0
177,35-44,Mpumalanga,Essential,2022-05-07,36,Phone,0.566,0,16,0,0,
178,35-44,Northern Cape,Essential,2023-03-17,49,Wearable,-0.587,1,1,0,0,
179,35-44,Free State,Executive,2020-05-01,44,Mixed,-0.681,0,10,0,1,
180,35-44,Gauteng,Plus,2022-05-14,86,Mixed,-1.27,0,5,0,0,
181,35-44,Gauteng,Plus,2023-04-10,36,Wearable,1.6,1,14,1,0,25.0
182,25-34,Western Cape,Essential,2025-11-03,34,GymScanner,-1.507,1,2,0,0,
183,25-34,Western Cape,Essential,2021-10-28,38,Wearable,1.083,0,4,0,1,
184,25-34,Gauteng,Classic,2025-05-04,50,Phone,-0.623,0,10,0,1,
185,65+,Gauteng,Plus,2025-04-16,64,Wearable,-1.331,1,11,0,0,
186,18-24,Gauteng,Executive,2023-08-16,25,Wearable,0.484,0,9,0,1,
187,45-54,Gauteng,Plus,2024-11-03,85,Phone,0.779,1,0,0,1,
188,45-54,North West,Essential,2025-10-27,39,Mixed,-0.048,0,0,0,0,
189,35-44,Gauteng,Classic,2025-03-05,52,Phone,-1.058,1,5,0,1,
190,18-24,Free State,Plus,2024-10-31,32,Mixed,-0.822,1,23,1,1,26.0
191,35-44,Free State,Plus,2022-07-20,20,GymScanner,0.22,0,22,0,0,
192,45-54,Limpopo,Classic,2024-06-27,38,Phone,0.743,0,8,0,0,
193,25-34,Gauteng,Essential,2022-12-13,15,Wearable,-0.717,0,0,0,1,
194,35-44,Western Cape,Executive,2024-04-14,53,Wearable,-0.164,1,18,0,1,
195,65+,Eastern Cape,Classic,2023-02-08,40,Wearable,-0.407,1,16,0,1,
196,25-34,Western Cape,Executive,2025-03-26,27,Phone,0.157,1,0,0,0,
197,25-34,Gauteng,Plus,2024-04-16,55,Phone,-0.359,0,7,0,0,
198,25-34,Gauteng,Essential,2023-02-22,59,Mixed,1.533,0,13,0,1,
199,25-34,KwaZulu-Natal,Plus,2021-04-26,30,Wearable,0.035,0,2,0,0,
200,25-34,KwaZulu-Natal,Classic,2022-09-30,59,Phone,0.192,1,0,1,0,25.0
201,25-34,Gauteng,Essential,2025-06-03,33,Phone,1.201,0,11,0,0,
202,35-44,KwaZulu-Natal,Essential,2022-08-28,58,Mixed,-0.688,1,0,0,1,
203,25-34,Gauteng,Classic,2021-02-11,11,Wearable,-1.974,0,25,0,1,
204,25-34,Northern Cape,Classic,2021-05-22,31,Phone,-1.255,1,0,0,0,
205,55-64,Western Cape,Essential,2020-12-05,72,Mixed,-0.004,0,10,0,1,
206,35-44,Gauteng,Classic,2021-09-27,70,Mixed,-0.812,0,7,0,1,
207,25-34,Western Cape,Plus,2020-09-07,61,Wearable,-0.308,1,0,0,1,
208,35-44,Free State,Essential,2024-12-15,52,Phone,-0.549,0,13,0,0,
209,65+,Eastern Cape,Classic,2020-09-09,69,Mixed,-0.285,1,0,0,0,
210,25-34,North West,Essential,2024-02-05,38,Wearable,0.166,1,27,1,1,25.0
211,55-64,Gauteng,Essential,2025-01-20,52,Mixed,1.17,0,8,0,0,
212,35-44,Eastern Cape,Essential,2020-06-16,59,Wearable,-1.555,0,15,0,1,
213,25-34,Western Cape,Classic,2020-04-07,39,Phone,2.356,1,12,0,1,
214,25-34,Gauteng,Plus,2022-06-22,84,Wearable,0.093,1,27,1,0,25.0
215,45-54,Gauteng,Plus,2020-08-12,65,GymScanner,2.523,1,26,1,1,25.0
216,35-44,Gauteng,Classic,2021-11-13,26,Phone,-0.517,1,8,0,0,
217,55-64,Mpumalanga,Essential,2024-01-19,54,Mixed,-1.221,1,7,1,0,25.0
218,25-34,Northern Cape,Classic,2021-12-07,62,Mixed,-0.18,0,10,0,1,
219,55-64,North West,Executive,2023-03-12,55,Mixed,-0.402,0,13,0,0,
220,18-24,Eastern Cape,Essential,2022-11-22,27,Wearable,1.028,0,0,0,1,
221,55-64,Limpopo,Classic,2022-08-02,60,Mixed,-0.162,1,2,1,1,26.0
222,55-64,KwaZulu-Natal,Classic,2021-10-07,67,Phone,-1.959,0,2,0,1,
223,45-54,KwaZulu-Natal,Executive,2023-02-05,100,Mixed,-1.304,0,13,0,0,
224,35-44,Gauteng,Classic,2024-07-27,46,Wearable,-1.919,1,10,0,1,
225,25-34,KwaZulu-Natal,Essential,2021-04-18,59,Mixed,-0.621,1,11,0,1,
226,25-34,Gauteng,Classic,2025-06-27,59,Wearable,1.187,1,25,1,0,26.0
227,45-54,KwaZulu-Natal,Classic,2021-01-06,42,Wearable,-1.689,1,8,0,0,
228,45-54,Gauteng,Essential,2020-05-05,25,Phone,-0.805,0,0,0,0,
229,65+,Gauteng,Essential,2025-06-14,24,Phone,-0.079,0,14,0,0,
230,55-64,Northern Cape,Essential,2021-06-17,34,Mixed,-0.606,1,11,1,0,26.0
231,35-44,KwaZulu-Natal,Essential,2025-03-16,44,Phone,1.219,0,1,0,1,
232,35-44,Limpopo,Classic,2022-12-26,40,Phone,0.697,0,9,0,0,
233,25-34,Western Cape,Classic,2020-11-23,49,Phone,-0.375,1,8,1,1,25.0
234,25-34,Gauteng,Classic,2022-04-14,53,Wearable,0.301,1,18,0,1,
235,18-24,Eastern Cape,Classic,2022-06-26,55,GymScanner,-0.045,1,17,0,1,
236,45-54,North West,Plus,2021-06-25,19,Phone,0.594,1,5,1,0,26.0
237,55-64,Eastern Cape,Classic,2025-09-21,26,Phone,-0.742,1,7,0,0,
238,45-54,Eastern Cape,Essential,2023-04-04,82,Mixed,-1.116,1,9,0,1,
239,35-44,Gauteng,Plus,2025-09-05,14,Phone,0.842,0,4,0,1,
240,45-54,Gauteng,Plus,2025-12-24,55,Mixed,-0.662,0,16,0,0,
241,55-64,Gauteng,Executive,2025-06-04,42,GymScanner,0.854,0,7,0,0,
242,55-64,Eastern Cape,Essential,2022-10-20,38,Wearable,0.45,1,2,0,1,
243,35-44,Western Cape,Classic,2023-03-22,42,Mixed,-1.997,1,7,0,0,
244,55-64,Gauteng,Executive,2020-07-30,16,Wearable,0.625,1,6,0,0,
245,45-54,Gauteng,Classic,2023-05-19,50,Mixed,-0.506,1,2,0,0,
246,18-24,Western Cape,Plus,2020-06-29,47,Wearable,-0.57,0,15,0,0,
247,35-44,Gauteng,Plus,2022-03-03,39,Phone,0.831,0,7,0,1,
248,35-44,Limpopo,Essential,2020-06-21,40,Phone,-0.027,1,25,0,1,
249,45-54,Free State,Classic,2022-05-13,74,Mixed,-0.766,1,8,1,0,26.0
250,55-64,KwaZulu-Natal,Classic,2021-03-18,30,Phone,1.276,1,0,0,0,
251,25-34,Gauteng,Essential,2023-01-08,38,Mixed,-1.334,1,10,1,0,26.0
252,35-44,KwaZulu-Natal,Plus,2021-08-24,50,Phone,-0.405,0,6,0,0,
253,18-24,Gauteng,Classic,2023-10-25,58,Mixed,0.48,0,5,0,0,
254,45-54,KwaZulu-Natal,Executive,2022-12-26,46,Wearable,0.425,1,0,1,0,26.0
255,55-64,Free State,Essential,2021-04-29,58,Wearable,-0.609,1,12,0,1,
256,25-34,Western Cape,Essential,2024-09-20,13,GymScanner,-0.441,1,0,0,1,
257,35-44,Mpumalanga,Essential,2020-09-27,66,Phone,0.969,1,29,0,1,
258,25-34,Gauteng,Classic,2021-06-08,92,Phone,1.811,1,2,1,1,26.0
259,55-64,KwaZulu-Natal,Essential,2024-11-27,57,Wearable,-2.283,1,0,0,0,
260,55-64,KwaZulu-Natal,Classic,2022-12-19,40,Mixed,-0.537,1,21,1,0,25.0
261,45-54,Northern Cape,Executive,2020-11-15,12,Mixed,1.938,1,8,0,1,
262,65+,KwaZulu-Natal,Executive,2023-01-16,67,Wearable,0.383,0,0,0,0,
263,35-44,Gauteng,Plus,2022-12-29,49,Wearable,-1.246,1,1,1,1,25.0
264,25-34,Gauteng,Essential,2025-07-10,44,Mixed,-2.962,0,16,0,0,
265,45-54,Northern Cape,Plus,2025-04-08,47,Phone,0.674,0,4,0,0,
266,35-44,KwaZulu-Natal,Classic,2021-04-27,31,Wearable,-1.601,0,0,0,0,
267,55-64,KwaZulu-Natal,Essential,2021-08-25,43,Mixed,0.144,1,7,0,0,
268,55-64,Gauteng,Essential,2020-05-15,63,Wearable,-0.638,1,17,1,0,25.0
269,45-54,KwaZulu-Natal,Essential,2021-02-23,91,Phone,1.69,1,15,1,0,25.0
270,25-34,Western Cape,Plus,2025-07-05,63,Wearable,1.471,0,22,0,0,
271,25-34,Gauteng,Plus,2023-05-08,40,Mixed,0.646,1,2,1,1,26.0
272,55-64,KwaZulu-Natal,Classic,2021-03-30,38,Wearable,-0.831,1,8,0,0,
273,18-24,Eastern Cape,Essential,2021-10-17,38,Phone,0.498,0,9,0,0,
274,35-44,Gauteng,Executive,2025-08-22,46,Phone,0.508,0,5,0,0,
275,45-54,Free State,Executive,2020-08-24,38,Wearable,1.853,1,0,0,1,
276,25-34,Eastern Cape,Classic,2022-11-13,38,Wearable,0.052,0,11,0,0,
277,18-24,Limpopo,Classic,2022-06-10,30,GymScanner,0.692,1,0,0,1,
278,35-44,KwaZulu-Natal,Classic,2022-04-18,100,Mixed,0.828,1,12,0,0,
279,25-34,Gauteng,Executive,2025-11-30,49,GymScanner,-0.863,0,1,0,1,
280,18-24,KwaZulu-Natal,Essential,2025-08-09,25,Wearable,1.619,0,2,0,0,
281,35-44,Western Cape,Essential,2022-01-08,39,Wearable,1.776,1,18,1,1,25.0
282,55-64,KwaZulu-Natal,Essential,2025-05-30,29,Mixed,-0.589,1,0,0,1,
283,35-44,Mpumalanga,Essential,2025-11-29,57,GymScanner,-0.906,0,7,0,1,
284,18-24,Gauteng,Plus,2022-12-18,54,Wearable,0.151,1,3,0,0,
285,45-54,Free State,Plus,2020-02-16,43,Mixed,0.669,0,18,0,1,
286,25-34,Gauteng,Classic,2022-07-13,22,Wearable,1.158,1,18,1,0,26.0
287,55-64,Gauteng,Plus,2024-09-14,53,Mixed,0.202,1,8,1,1,26.0
288,18-24,Free State,Classic,2022-11-18,83,Wearable,-0.025,1,19,0,0,
289,18-24,Gauteng,Executive,2021-10-16,22,Mixed,-1.537,1,10,0,0,
290,55-64,KwaZulu-Natal,Essential,2020-06-07,77,GymScanner,0.405,0,13,0,0,
291,25-34,KwaZulu-Natal,Essential,2023-01-23,50,GymScanner,0.314,1,7,0,0,
292,35-44,Gauteng,Essential,2022-06-08,78,GymScanner,1.602,0,3,0,1,
293,35-44,KwaZulu-Natal,Plus,2023-03-12,39,GymScanner,0.799,0,0,0,0,
294,25-34,Western Cape,Classic,2024-10-22,83,GymScanner,-0.77,1,27,0,0,
295,25-34,North West,Classic,2020-07-15,71,GymScanner,1.044,0,12,0,0,
296,18-24,Mpumalanga,Classic,2025-10-18,48,Mixed,0.015,1,29,1,0,26.0
297,35-44,Gauteng,Plus,2022-02-09,20,Phone,0.868,0,1,0,0,
298,35-44,Limpopo,Executive,2020-11-19,67,Mixed,0.314,1,5,1,1,25.0
299,45-54,Gauteng,Essential,2025-03-18,55,GymScanner,2.395,1,0,0,1,
300,25-34,KwaZulu-Natal,Essential,2024-12-25,67,Mixed,1.318,1,25,1,1,25.0
301,25-34,Gauteng,Plus,2025-03-17,74,Wearable,-0.884,0,21,0,0,
302,18-24,Mpumalanga,Essential,2023-07-20,44,Wearable,-0.054,1,10,0,0,
303,45-54,Gauteng,Essential,2023-08-05,63,GymScanner,-0.771,0,0,0,0,
304,25-34,Gauteng,Essential,2023-02-25,58,Wearable,0.615,0,1,0,0,
305,55-64,Gauteng,Plus,2023-11-07,16,Mixed,-0.082,0,4,0,1,
306,35-44,Western Cape,Classic,2021-07-11,46,Mixed,-0.421,0,11,0,0,
307,45-54,Gauteng,Essential,2020-10-14,67,Mixed,-0.146,0,12,0,1,
308,45-54,KwaZulu-Natal,Essential,2025-03-03,38,Phone,-0.534,0,0,0,0,
